Date,Open,High,Low,Close,Adj Close,Volume
2015-01-05,9568.4365234375,9707.109375,9568.4365234375,9637.7724609375,9637.7724609375,87241
2015-01-06,9637.7724609375,9915.1181640625,9568.4365234375,9707.109375,9707.109375,180293
2015-01-07,9707.109375,10053.7919921875,9707.109375,9984.455078125,9984.455078125,674377
2015-01-08,9915.1181640625,9984.455078125,9776.4453125,9776.4453125,9776.4453125,437965
2015-01-09,9915.1181640625,10192.46484375,9845.7822265625,10053.7919921875,10053.7919921875,1251158
2015-01-12,10123.1279296875,10469.810546875,10053.7919921875,10192.46484375,10192.46484375,3007650
2015-01-13,10331.1376953125,10885.8291015625,10261.80078125,10747.15625,10747.15625,2065304
2015-01-14,10885.8291015625,11024.5029296875,10469.810546875,10677.8203125,10677.8203125,1882414
2015-01-15,10677.8203125,10955.166015625,10539.1474609375,10539.1474609375,10539.1474609375,1025793
2015-01-16,10539.1474609375,10747.15625,10400.4736328125,10608.4833984375,10608.4833984375,1709446
2015-01-19,10955.166015625,11024.5029296875,10747.15625,10885.8291015625,10885.8291015625,2591045
2015-01-20,10816.4931640625,10885.8291015625,10677.8203125,10677.8203125,10677.8203125,597851
2015-01-21,10677.8203125,10677.8203125,10469.810546875,10469.810546875,10469.810546875,1167696
2015-01-22,10469.810546875,11163.17578125,10331.1376953125,11163.17578125,11163.17578125,3873140
2015-01-23,11579.1943359375,11787.2041015625,11371.1845703125,11509.8583984375,11509.8583984375,2822841
2015-01-26,11648.53125,11995.2138671875,11579.1943359375,11856.5400390625,11856.5400390625,4247401
2015-01-27,11856.5400390625,12341.8955078125,11648.53125,12133.88671875,12133.88671875,6316370
2015-01-28,12133.88671875,12965.923828125,12133.88671875,12965.923828125,12965.923828125,8283991
2015-01-29,13173.93359375,13520.6162109375,12827.2509765625,13035.2607421875,13035.2607421875,6167645
2015-01-30,12827.2509765625,12965.923828125,12341.8955078125,12480.5693359375,12480.5693359375,4586674
2015-02-02,12341.8955078125,12827.2509765625,12203.22265625,12480.5693359375,12480.5693359375,3634319
2015-02-03,12549.9052734375,12619.2421875,11648.53125,11648.53125,11648.53125,4951937
2015-02-04,11301.8486328125,11440.521484375,10885.8291015625,11232.51171875,11232.51171875,5210891
2015-02-05,11440.521484375,11856.5400390625,11301.8486328125,11856.5400390625,11856.5400390625,4776488
2015-02-06,11856.5400390625,12411.232421875,11856.5400390625,12272.5595703125,12272.5595703125,4584165
2015-02-09,12203.22265625,12619.2421875,12133.88671875,12341.8955078125,12341.8955078125,5461668
2015-02-10,12480.5693359375,12827.2509765625,12341.8955078125,12757.9150390625,12757.9150390625,3915960
2015-02-11,12549.9052734375,12896.587890625,12549.9052734375,12757.9150390625,12757.9150390625,3828993
2015-02-12,12757.9150390625,12896.587890625,12341.8955078125,12411.232421875,12411.232421875,3826080
2015-02-13,12411.232421875,12549.9052734375,12272.5595703125,12341.8955078125,12341.8955078125,2922312
2015-02-24,12549.9052734375,12965.923828125,12480.5693359375,12896.587890625,12896.587890625,2626971
2015-02-25,13035.2607421875,13520.6162109375,13035.2607421875,13035.2607421875,13035.2607421875,8022008
2015-02-26,13104.59765625,13451.279296875,13104.59765625,13451.279296875,13451.279296875,5984698
2015-02-27,13520.6162109375,13589.953125,13173.93359375,13451.279296875,13451.279296875,6055122
2015-03-02,13312.6064453125,13381.943359375,13035.2607421875,13243.2705078125,13243.2705078125,4434201
2015-03-03,13173.93359375,13520.6162109375,13173.93359375,13312.6064453125,13312.6064453125,5606109
2015-03-04,13312.6064453125,13451.279296875,13104.59765625,13312.6064453125,13312.6064453125,4248700
2015-03-05,13381.943359375,13451.279296875,13035.2607421875,13035.2607421875,13035.2607421875,3787860
2015-03-06,12965.923828125,13520.6162109375,12827.2509765625,13243.2705078125,13243.2705078125,5412286
2015-03-09,13312.6064453125,13312.6064453125,12965.923828125,12965.923828125,12965.923828125,2183885
2015-03-10,12896.587890625,13173.93359375,12896.587890625,13035.2607421875,13035.2607421875,1727863
2015-03-11,13035.2607421875,13381.943359375,12896.587890625,13035.2607421875,13035.2607421875,4036979
2015-03-12,13173.93359375,13243.2705078125,13035.2607421875,13104.59765625,13104.59765625,2256170
2015-03-13,13243.2705078125,13381.943359375,13173.93359375,13243.2705078125,13243.2705078125,3438303
2015-03-16,13173.93359375,13243.2705078125,13035.2607421875,13035.2607421875,13035.2607421875,2172881
2015-03-17,13035.2607421875,13173.93359375,12965.923828125,12965.923828125,12965.923828125,1950415
